UIAutomation 2.0.20 (Python 3.12.5, 64 bit)
2024-09-24 09:32:44.569 automation.py[79] main -> Starts, Current Cursor Position: (35, -555)
                                                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (1364,215,1505,233)[141x18]    Name: 好    Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1302,243,1527,307)[225x64]    Name: ㅤ已置顶    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: False    ValuePattern.Value: '天气变凉咯,置顶'    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern SelectionItemPattern ValuePattern
                                            ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1302,243,1527,307)[225x64]    Name:     Handle: 0x0(0)    Depth: 11    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1314,255,1354,295)[40x40]    Name: ㅤ    Handle: 0x0(0)    Depth: 12    SupportedPattern: InvokePattern LegacyIAccessiblePattern ScrollItemPattern
                                                ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1364,255,1515,297)[151x42]    Name:     Handle: 0x0(0)    Depth: 12    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                    ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1364,255,1515,279)[151x24]    Name:     Handle: 0x0(0)    Depth: 13    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (1364,255,1488,279)[124x24]    Name: ㅤ    Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                        ControlType: PaneControl    ClassName:     AutomationId:     Rect: (0,0,0,0)[0x0]    Name:     Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (1488,255,1515,279)[27x24]    Name: 7:59    Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                    ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1364,279,1515,297)[151x18]    Name:     Handle: 0x0(0)    Depth: 13    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                        ControlType: TextControl    ClassName:     AutomationId:     Rect: (1364,279,1505,297)[141x18]    Name: 天气变凉咯    Handle: 0x0(0)    Depth: 14    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                        ControlType: ListItemControl    ClassName:     AutomationId:     Rect: (1302,307,1527,371)[225x64]    Name: 小猫^苏^已置顶    Handle: 0x0(0)    Depth: 10    SelectionItemPattern.IsSelected: False    ValuePattern.Value: '好的主人，主人晚安,置顶'    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern SelectionItemPattern ValuePattern
                                            ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1302,307,1527,371)[225x64]    Name:     Handle: 0x0(0)    Depth: 11    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                ControlType: ButtonControl    ClassName:     AutomationId:     Rect: (1314,319,1354,359)[40x40]    Name: 小猫^苏^    Handle: 0x0(0)    Depth: 12    SupportedPattern: InvokePattern LegacyIAccessiblePattern ScrollItemPattern
                                                ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1364,319,1515,361)[151x42]    Name:     Handle: 0x0(0)    Depth: 12    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
                                                    ControlType: PaneControl    ClassName:     AutomationId:     Rect: (1364,319,1515,343)[151x24]    Name:     Handle: 0x0(0)    Depth: 13    SupportedPattern: LegacyIAccessiblePattern ScrollItemPattern
